name,type,hasOutputQuantity,hasProcessingTimeSim,hasProcessTypeSim,hasInput,hasCostSim,hasOutput,hasCarbonFootprintSim,connectedTo,hasInputQuantity,isMachineOf,isStorageOf
HighPressure_FoamInjection,Simulation,Rule12 미충족: hasProductName 누락 → result/제품 속성 접근 불가,Rule12 미충족: hasProductName 누락 → result/제품 속성 접근 불가,['Foaming'],['PURFoam'],Rule12 미충족: hasProductName 누락 → result/제품 속성 접근 불가,Rule5 미충족: hasProductName 누락 → result 부재,Rule12 미충족: hasProductName 누락 → result/제품 속성 접근 불가,Rule10/11 미충족: hasOutput 없음(설비),Rule12 미충족: hasProductName 누락 → result/제품 속성 접근 불가,['P13'],기본 매핑 누락(원본 온톨로지에서 생성되지 않음)
Robot_Assembly_A1,Simulation,Rule12 미충족: hasQuantity(SubDoor1) 없음,Rule12 미충족: hasProcessingTime(SubDoor1) 없음,['Assemble'],"['LowerCover1', 'SidePanel1', 'TopCover3', 'LowerCover3', 'LowerCover2', 'BackSheet3', 'SidePanel2', 'TopCover2', 'SidePanel3', 'BackSheet1', 'BackSheet2', 'TopCover1']",Rule12 미충족: hasCost(SubDoor1) 없음,['SubDoor1'],Rule12 미충족: hasCarbonFootprint(SubDoor1) 없음,['I_Storage_0'],Rule12 미충족: hasQuantity(SubDoor1) 없음,['A1'],기본 매핑 누락(원본 온톨로지에서 생성되지 않음)
Robot_Assembly_A2,Simulation,Rule12 미충족: hasQuantity(SubRefrigerator1) 없음,Rule12 미충족: hasProcessingTime(SubRefrigerator1) 없음,['Assemble'],['EntityAssy'],Rule12 미충족: hasCost(SubRefrigerator1) 없음,['SubRefrigerator1'],Rule12 미충족: hasCarbonFootprint(SubRefrigerator1) 없음,['I_Storage_13'],Rule12 미충족: hasQuantity(SubRefrigerator1) 없음,['A2'],기본 매핑 누락(원본 온톨로지에서 생성되지 않음)
Robot_Assembly_A3,Simulation,Rule12 미충족: hasQuantity(SubRefrigerator2) 없음,Rule12 미충족: hasProcessingTime(SubRefrigerator2) 없음,['Assemble'],['HingeAssy'],Rule12 미충족: hasCost(SubRefrigerator2) 없음,['SubRefrigerator2'],Rule12 미충족: hasCarbonFootprint(SubRefrigerator2) 없음,['I_Storage_15'],Rule12 미충족: hasQuantity(SubRefrigerator2) 없음,['A3'],기본 매핑 누락(원본 온톨로지에서 생성되지 않음)
Robot_Assembly_A4,Simulation,Rule12 미충족: hasQuantity(SubRefrigerator3) 없음,Rule12 미충족: hasProcessingTime(SubRefrigerator3) 없음,['Assemble'],['Handle'],Rule12 미충족: hasCost(SubRefrigerator3) 없음,['SubRefrigerator3'],Rule12 미충족: hasCarbonFootprint(SubRefrigerator3) 없음,['I_Storage_17'],Rule12 미충족: hasQuantity(SubRefrigerator3) 없음,['A4'],기본 매핑 누락(원본 온톨로지에서 생성되지 않음)
Robot_Assembly_A5,Simulation,Rule12 미충족: hasQuantity(SubRefrigerator4) 없음,Rule12 미충족: hasProcessingTime(SubRefrigerator4) 없음,['Assemble'],['Magnet'],Rule12 미충족: hasCost(SubRefrigerator4) 없음,['SubRefrigerator4'],Rule12 미충족: hasCarbonFootprint(SubRefrigerator4) 없음,['I_Storage_19'],Rule12 미충족: hasQuantity(SubRefrigerator4) 없음,['A5'],기본 매핑 누락(원본 온톨로지에서 생성되지 않음)
Robot_Assembly_A6,Simulation,Rule12 미충족: hasQuantity(SubRefrigerator5) 없음,Rule12 미충족: hasProcessingTime(SubRefrigerator5) 없음,['Assemble'],['Gasket'],Rule12 미충족: hasCost(SubRefrigerator5) 없음,['SubRefrigerator5'],Rule12 미충족: hasCarbonFootprint(SubRefrigerator5) 없음,['I_Storage_21'],Rule12 미충족: hasQuantity(SubRefrigerator5) 없음,['A6'],기본 매핑 누락(원본 온톨로지에서 생성되지 않음)
I_Storage_0,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['SubDoor1'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['SubDoor1'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),Rule9 미적용: 대응 설비의 hasInput(동일 자원) 없음,대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['SubDoor1']
I_Storage_1,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['SidePanel1'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['SidePanel1'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Robot_Assembly_A1'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['SidePanel1']
I_Storage_2,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['SidePanel2'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['SidePanel2'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Robot_Assembly_A1'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['SidePanel2']
I_Storage_3,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['SidePanel3'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['SidePanel3'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Robot_Assembly_A1'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['SidePanel3']
I_Storage_4,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['BackSheet1'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['BackSheet1'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Robot_Assembly_A1'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['BackSheet1']
I_Storage_5,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['BackSheet2'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['BackSheet2'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Robot_Assembly_A1'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['BackSheet2']
I_Storage_6,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['BackSheet3'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['BackSheet3'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Robot_Assembly_A1'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['BackSheet3']
I_Storage_7,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['TopCover1'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['TopCover1'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Robot_Assembly_A1'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['TopCover1']
I_Storage_8,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['TopCover2'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['TopCover2'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Robot_Assembly_A1'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['TopCover2']
I_Storage_9,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['TopCover3'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['TopCover3'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Robot_Assembly_A1'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['TopCover3']
I_Storage_10,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['LowerCover1'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['LowerCover1'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Robot_Assembly_A1'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['LowerCover1']
I_Storage_11,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['LowerCover2'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['LowerCover2'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Robot_Assembly_A1'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['LowerCover2']
I_Storage_12,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['LowerCover3'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['LowerCover3'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Robot_Assembly_A1'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['LowerCover3']
I_Storage_13,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['SubRefrigerator1'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['SubRefrigerator1'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),Rule9 미적용: 대응 설비의 hasInput(동일 자원) 없음,대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['SubRefrigerator1']
I_Storage_14,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['EntityAssy'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['EntityAssy'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Robot_Assembly_A2'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['EntityAssy']
I_Storage_15,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['SubRefrigerator2'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['SubRefrigerator2'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),Rule9 미적용: 대응 설비의 hasInput(동일 자원) 없음,대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['SubRefrigerator2']
I_Storage_16,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['HingeAssy'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['HingeAssy'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Robot_Assembly_A3'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['HingeAssy']
I_Storage_17,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['SubRefrigerator3'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['SubRefrigerator3'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),Rule9 미적용: 대응 설비의 hasInput(동일 자원) 없음,대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['SubRefrigerator3']
I_Storage_18,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Handle'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Handle'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Robot_Assembly_A4'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['Handle']
I_Storage_19,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['SubRefrigerator4'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['SubRefrigerator4'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),Rule9 미적용: 대응 설비의 hasInput(동일 자원) 없음,대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['SubRefrigerator4']
I_Storage_20,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Magnet'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Magnet'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Robot_Assembly_A5'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['Magnet']
I_Storage_21,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['SubRefrigerator5'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['SubRefrigerator5'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),Rule9 미적용: 대응 설비의 hasInput(동일 자원) 없음,대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['SubRefrigerator5']
I_Storage_22,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Gasket'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Gasket'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Robot_Assembly_A6'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['Gasket']
I_Storage_23,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['PURFoam'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['PURFoam'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['HighPressure_FoamInjection'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['PURFoam']
R_Storage_0,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Aluminum'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Aluminum'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),"['Drawing_Press_SidePanel', 'Drawing_Press_BackSheet', 'Piercing_Press_BackSheet', 'Blanking_Press_BackSheet', 'Piercing_Press_SidePanel', 'Blanking_Press_SidePanel']",대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['Aluminum']
R_Storage_1,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Steel'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Steel'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),"['Blanking_Press_LowerCover', 'Piercing_Press_TopCover', 'Blanking_Press_TopCover', 'Drawing_Press_TopCover', 'Piercing_Press_LowerCover', 'Drawing_Press_LowerCover']",대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['Steel']
R_Storage_2,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['PURFoam'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['PURFoam'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['HighPressure_FoamInjection'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['PURFoam']
F_Storage_0,Simulation,대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Refrigerator'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),['Refrigerator'],대상 아님: 설비(Machine)가 아님(Rule12 비적용),Rule9 미적용: 대응 설비의 hasInput(동일 자원) 없음,대상 아님: 설비(Machine)가 아님(Rule12 비적용),기본 매핑 누락(원본 온톨로지에서 생성되지 않음),['Refrigerator']
